,director,link,city,state,country,nm_film_directed,nm_of_wins,nm_of_nominations
211,Jørgen Leth,http://www.imdb.com/name/nm0504654/?ref_=sr_t_1,Århus,,Denmark,47,12,7
212,K. Rajagopal,http://www.imdb.com/name/nm1474851/?ref_=sr_t_1,,,,Not Available,1,Not Available
213,Karim Aïnouz,http://www.imdb.com/name/nm0014694/?ref_=sr_t_1,Fortaleza,Ceará,Brazil,28,54,84
214,Kathryn Bigelow,http://www.imdb.com/name/nm0000941/?ref_=sr_t_1,San Carlos,California,USA,23,87,66
215,Kelly Reichardt,http://www.imdb.com/name/nm0716980/?ref_=sr_t_1,Miami-Dade County,Florida,USA,15,35,111
216,Kelvin Tong,http://www.imdb.com/name/nm0867210/?ref_=sr_t_1,,,Singapore,18,7,9
217,Ken Jacobs,http://www.imdb.com/name/nm0414499/?ref_=sr_t_1,"Williamsburg, Brooklyn, New York City",New York City,"New York, USA",63,2,7
218,Ken Loach,http://www.imdb.com/name/nm0516360/?ref_=sr_t_1,Nuneaton,Warwickshire,"England, UK",57,122,105
219,Kenneth Lonergan,http://www.imdb.com/name/nm0518836/?ref_=sr_t_1,New York City,New York,USA,3,67,100
220,Kevin Costner,http://www.imdb.com/name/nm0000126/?ref_=sr_t_1,Lynwood,California,USA,6,67,69
221,Khalo Matabane,http://www.imdb.com/name/nm1988834/?ref_=sr_t_1,,,,9,2,8
222,Kim Jee-woon,http://www.imdb.com/name/nm0453518/?ref_=sr_t_1,Seoul,,South Korea,18,35,29
223,Kim Ki-duk,http://www.imdb.com/name/nm1104118/?ref_=sr_t_1,Bonghwa,,South Korea,26,63,57
224,Kinji Fukasaku,http://www.imdb.com/name/nm0297935/?ref_=sr_t_1,Mito,,Japan,71,24,14
225,Kiyoshi Kurosawa,http://www.imdb.com/name/nm0475905/?ref_=sr_t_1,Kobe,,Japan,66,28,48
226,Kleber Mendonça Filho,http://www.imdb.com/name/nm2207625/?ref_=fn_all_nme_1,Recife,Pernambuco,Brazil,22,105,59
227,Kátia Lund,http://www.imdb.com/name/nm0526199/?ref_=sr_t_1,São Paulo,São Paulo,Brazil,22,21,9
228,Larry Charles,http://www.imdb.com/name/nm0153078/?ref_=sr_t_1,Brooklyn,New York City,"New York, USA",20,5,21
229,Lars von Trier,http://www.imdb.com/name/nm0001885/?ref_=fn_all_nme_1,Copenhagen,,Denmark,46,106,112
230,Laurent Cantet,http://www.imdb.com/name/nm0134559/?ref_=sr_t_1,Melle,Deux-Sèvres,France,13,36,33
231,Laurie Anderson,http://www.imdb.com/name/nm0002173/?ref_=sr_t_1,Glen Ellyn,Illinois,USA,10,6,18
232,Lav Diaz,http://www.imdb.com/name/nm0225010/?ref_=sr_t_1,Datu Paglas,Maguindanao,"Mindanao, Philippines",42,57,107
233,Lee Chang-dong,http://www.imdb.com/name/nm0496969/?ref_=sr_t_1,Daegu,,South Korea,7,82,75
234,Lee Unkrich,http://www.imdb.com/name/nm0881279/?ref_=sr_t_1,Cleveland,Ohio,USA,8,31,33
235,Leos Carax,http://www.imdb.com/name/nm0136021/?ref_=sr_t_1,Suresnes,Seine [now Hauts-de-Seine],France,18,26,50
236,Lewis Klahr,http://www.imdb.com/name/nm0458185/?ref_=sr_t_1,,,,39,1,3
237,Luc Dardenne,http://www.imdb.com/name/nm0201095/?ref_=sr_t_1,Awirs,Wallonia,Belgium,21,67,80
238,Luca Guadagnino,http://www.imdb.com/name/nm0345174/?ref_=sr_t_1,Palermo,Sicily,Italy,43,40,95
239,Lucrecia Martel,http://www.imdb.com/name/nm0551506/?ref_=sr_t_1,Salta,,Argentina,26,37,28
240,Luigi M. Faccini,http://www.imdb.com/name/nm0264825/?ref_=fn_all_nme_1,Lerici,,Italy,13,2,1
241,Lukas Moodysson,http://www.imdb.com/name/nm0600546/?ref_=sr_t_1,Malmö,Skåne län,Sweden,14,43,42
242,Luke Fowler,http://www.imdb.com/name/nm4917815/?ref_=sr_t_1,,,,13,4,6
243,Lynne Ramsay,http://www.imdb.com/name/nm0708903/?ref_=sr_t_1,Glasgow,Strathclyde,"Scotland, UK",13,41,61
244,László Nemes,http://www.imdb.com/name/nm1841577/?ref_=sr_t_1,Budapest,,Hungary,7,45,41
245,Mahamat-Saleh Haroun,http://www.imdb.com/name/nm0757958/?ref_=sr_t_1,Abéché,,Chad,24,28,22
246,Mani Haghighi,http://www.imdb.com/name/nm2155679/?ref_=sr_t_1,Tehran,,Iran,10,12,28
247,Manoel de Oliveira,http://www.imdb.com/name/nm0210701/?ref_=fn_all_nme_1,Oporto,,Portugal,66,56,74
248,Marcelo Gomes,http://www.imdb.com/name/nm1103123/?ref_=sr_t_1,Recife,Pernambuco,Brazil,14,49,32
249,Marco Bellocchio,http://www.imdb.com/name/nm0069166/?ref_=sr_t_1,Piacenza,Emilia-Romagna,Italy,55,91,117
250,Marco De Angelis,http://www.imdb.com/name/nm3042162/?ref_=fn_all_nme_1,,,,Not Available,1,Not Available
251,Maren Ade,http://www.imdb.com/name/nm0011752/?ref_=sr_t_1,Karlsruhe,Baden-Württemberg,Germany,5,41,51
252,Mariano Llinás,http://www.imdb.com/name/nm1183471/?ref_=sr_t_1,Buenos Aires,,Argentina,12,15,16
253,Marjane Satrapi,http://www.imdb.com/name/nm2277869/?ref_=sr_t_1,Rasht,,Iran,6,22,29
254,Mark Neveldine,http://www.imdb.com/name/nm0004410/?ref_=sr_t_1,Watertown,New York,USA,7,Not Available,Not Available
255,Martin Campbell,http://www.imdb.com/name/nm0132709/?ref_=sr_t_1,Hastings,,New Zealand,38,3,2
256,Martin Scorsese,http://www.imdb.com/name/nm0000217/?ref_=sr_t_1,Queens,New York City,"New York, USA",77,197,372
257,Mary Harron,http://www.imdb.com/name/nm0366004/?ref_=sr_t_1,Bracebridge,Ontario,Canada,28,6,13
258,Mel Gibson,http://www.imdb.com/name/nm0000154/?ref_=sr_t_1,Peekskill,New York,USA,12,46,47
259,Mia Hansen-Løve,http://www.imdb.com/name/nm0361135/?ref_=sr_t_1,Paris,,France,10,11,39
260,Michael Bay,http://www.imdb.com/name/nm0000881/?ref_=sr_t_1,Los Angeles,California,USA,64,10,20
261,Michael Haneke,http://www.imdb.com/name/nm0359734/?ref_=sr_t_1,Munich,Bavaria,Germany,22,109,99
262,Michael Mann,http://www.imdb.com/name/nm0000520/?ref_=sr_t_1,Chicago,Illinois,USA,26,19,39
263,Michael Moore,http://www.imdb.com/name/nm0601619/?ref_=sr_t_1,Flint,Michigan,USA,23,72,33
264,Michael Winterbottom,http://www.imdb.com/name/nm0935863/?ref_=sr_t_1,Blackburn,Lancashire,"England, UK",52,27,60
265,Michel Gondry,http://www.imdb.com/name/nm0327273/?ref_=sr_t_1,Versailles,Seine-et-Oise [now Yvelines],France,137,32,51
266,Michel Hazanavicius,http://www.imdb.com/name/nm0371890/?ref_=sr_t_1,Paris,,France,17,57,83
267,Michelangelo Antonioni,http://www.imdb.com/name/nm0000774/?ref_=sr_t_1,Ferrara,Emilia-Romagna,Italy,36,47,28
268,Michelangelo Frammartino,http://www.imdb.com/name/nm1506005/?ref_=sr_t_1,Milan,Lombardy,Italy,8,17,20
269,Miguel Arteta,http://www.imdb.com/name/nm0037708/?ref_=sr_t_1,San Juan,,Puerto Rico,43,3,19
270,Miguel Gomes,http://www.imdb.com/name/nm0326937/?ref_=sr_t_1,Lisbon,,Portugal,17,53,51
271,Mike Judge,http://www.imdb.com/name/nm0431918/?ref_=sr_t_1,Guayaquil,,Ecuador,18,8,32
272,Mike Leigh,http://www.imdb.com/name/nm0005139/?ref_=sr_t_1,Salford,Greater Manchester,"England, UK",25,85,119
273,Mike Mills,http://www.imdb.com/name/nm0590122/?ref_=sr_t_1,Berkeley,California,USA,22,17,42
274,Mira Nair,http://www.imdb.com/name/nm0619762/?ref_=sr_t_1,Bhubaneshwar,Orissa,India,27,35,26
275,Miranda July,http://www.imdb.com/name/nm0432380/?ref_=sr_t_1,Barre,Vermont,USA,11,26,25
276,Mohamed Diab,http://www.imdb.com/name/nm2559996/?ref_=sr_t_1,Ismailia,,Egypt,6,20,21
277,Mohamed Soueid,http://www.imdb.com/name/nm12496991/?ref_=sr_t_1,,,,Not Available,Not Available,Not Available
278,Mohammad Rasoulof,http://www.imdb.com/name/nm1488024/?ref_=sr_t_1,Shiraz,,Iran,10,67,43
279,Mojtaba Mirtahmasb,http://www.imdb.com/name/nm0592554/?ref_=sr_t_1,,,,7,3,5
280,Nadine Labaki,http://www.imdb.com/name/nm1701024/?ref_=sr_t_1,Beirut,,Lebanon,13,42,37
281,Naji Abou Nowar,http://www.imdb.com/name/nm3578681/?ref_=fn_all_nme_1,Oxford,Oxfordshire,"England, UK",2,8,14
282,Nanfu Wang,http://www.imdb.com/name/nm6811599/?ref_=sr_t_1,Jiangxi Province,,China,8,27,54
283,Nanni Moretti,http://www.imdb.com/name/nm0604335/?ref_=sr_t_1,Brunico,Trentino-Alto Adige,Italy,30,64,106
284,Naomi Kawase,http://www.imdb.com/name/nm0442905/?ref_=sr_t_1,Nara,,Japan,49,26,41
285,Neill Blomkamp,http://www.imdb.com/name/nm0088955/?ref_=sr_t_1,Johannesburg,,South Africa,37,15,39
286,Newton I. Aduaka,http://www.imdb.com/name/nm0012529/?ref_=fn_all_nme_1,Ogidi,,Nigeria,9,12,5
287,Ngozi Onwurah,http://www.imdb.com/name/nm0648937/?ref_=sr_t_1,,,Nigeria,22,13,9
288,Nick Cassavetes,http://www.imdb.com/name/nm0001024/?ref_=sr_t_1,New York City,New York,USA,13,5,8
289,Nicolas Winding Refn,http://www.imdb.com/name/nm0716347/?ref_=fn_all_nme_1,Copenhagen,,Denmark,23,30,55
290,Nikolaus Geyrhalter,http://www.imdb.com/name/nm0315430/?ref_=sr_t_1,Vienna,,Austria,19,25,38
291,Nina Paley,http://www.imdb.com/name/nm1315434/?ref_=sr_t_1,Champaign,Illinois,USA,10,7,5
292,Noah Baumbach,http://www.imdb.com/name/nm0000876/?ref_=sr_t_1,Brooklyn,New York City,"New York, USA",17,59,168
293,Norbert Pfaffenbichler,http://www.imdb.com/name/nm1114961/?ref_=sr_t_1,,,,13,2,3
294,Nouri Bouzid,http://www.imdb.com/name/nm0100525/?ref_=sr_t_1,Sfax,,Tunisia,11,14,9
295,Nuri Bilge Ceylan,http://www.imdb.com/name/nm0149196/?ref_=fn_all_nme_1,Istanbul,,Turkey,12,97,80
296,Oliver Schmitz,http://www.imdb.com/name/nm0005628/?ref_=sr_t_1,Cape Town,,South Africa,43,11,11
297,Olivier Assayas,http://www.imdb.com/name/nm0000801/?ref_=sr_t_1,Paris,,France,37,31,73
298,Ossama Mohammed,http://www.imdb.com/name/nm0611256/?ref_=sr_t_1,Lattakia,,Syria,5,9,4
299,Ousmane Sembène,http://www.imdb.com/name/nm0783733/?ref_=sr_t_1,Ziguenchor,Casamance,Senegal,13,22,11
300,Pablo Berger,http://www.imdb.com/name/nm0074311/?ref_=sr_t_1,Bilbao,Vizcaya,"País Vasco, Spain",7,41,40
301,Pablo Larraín,http://www.imdb.com/name/nm1883257/?ref_=sr_t_1,Santiago de Chile,Metropolitan Region,Chile,28,53,98
302,Pacho Velez,http://www.imdb.com/name/nm1381945/?ref_=sr_t_1,,,,13,10,23
303,Paolo Benvenuti,https://www.imdb.com/name/nm0073047/?ref_=fn_all_nme_2,Pisa,Tuscany,Italy,17,3,6
304,Paolo Sorrentino,http://www.imdb.com/name/nm0815204/?ref_=sr_t_1,Naples,Campania,Italy,37,91,113
305,Park Chan-wook,http://www.imdb.com/name/nm0661791/?ref_=sr_t_1,Seoul,,South Korea,23,83,116
306,Patricio Guzmán,http://www.imdb.com/name/nm0350099/?ref_=sr_t_1,Santiago,,Chile,31,42,36
307,Patrick Wang,http://www.imdb.com/name/nm1169526/?ref_=sr_t_1,,,,5,5,4
308,Patty Jenkins,http://www.imdb.com/name/nm0420941/?ref_=sr_t_1,George Air Force Base,Victorville,"California, USA",15,15,20
309,Paul Feig,http://www.imdb.com/name/nm0082450/?ref_=sr_t_1,Mount Clemens,Michigan,USA,32,8,13
310,Paul Greengrass,http://www.imdb.com/name/nm0339030/?ref_=sr_t_1,Cheam,Surrey,"England, UK",23,39,72
311,Paul Thomas Anderson,http://www.imdb.com/name/nm0000759/?ref_=fn_all_nme_1,Studio City,California,USA,48,96,274
312,Paweł Pawlikowski,http://www.imdb.com/name/nm0667734/?ref_=sr_t_1,Warsaw,Mazowieckie,Poland,14,80,79
313,Pedro Almodóvar,http://www.imdb.com/name/nm0000264/?ref_=sr_t_1,Calzada de Calatrava,Ciudad Real,"Castilla-La Mancha, Spain",43,174,226
314,Pedro Costa,http://www.imdb.com/name/nm0182276/?ref_=sr_t_1,Lisbon,,Portugal,19,45,45
315,Pete Docter,http://www.imdb.com/name/nm0230032/?ref_=sr_t_1,Bloomington,Minnesota,USA,12,60,87
316,Peter Jackson,http://www.imdb.com/name/nm0001392/?ref_=sr_t_1,Pukerua Bay,North Island,New Zealand,30,145,140
317,Peter Mullan,http://www.imdb.com/name/nm0611932/?ref_=sr_t_1,Peterhead,Scotland,UK,7,46,43
318,Peter Tscherkassky,http://www.imdb.com/name/nm0874787/?ref_=sr_t_1,Vienna,,Austria,25,15,14
319,Peter Watkins,http://www.imdb.com/name/nm0914386/?ref_=sr_t_1,Norbiton,Surrey,"England, UK",18,9,2
320,Peter Weir,http://www.imdb.com/name/nm0001837/?ref_=sr_t_1,Sydney,New South Wales,Australia,31,42,60
321,Phil Solomon,http://www.imdb.com/name/nm0994047/?ref_=sr_t_1,,,,1,Not Available,Not Available
322,Philip Gröning,http://www.imdb.com/name/nm0344973/?ref_=sr_t_1,Düsseldorf,,West Germany,10,13,22
323,Philip Kaufman,http://www.imdb.com/name/nm0442241/?ref_=sr_t_1,Chicago,Illinois,USA,14,15,21
324,Philippe Garrel,http://www.imdb.com/name/nm0308042/?ref_=sr_t_1,Paris,,France,38,12,29
325,Philippe Grandrieux,http://www.imdb.com/name/nm0334930/?ref_=sr_t_1,Saint-Étienne,Loire,"Rhône-Alpes, France",18,4,6
326,Pietro Marcello,http://www.imdb.com/name/nm2754122/?ref_=sr_t_1,Caserta,Campania,Italy,16,25,43
327,Pippo Delbono,http://www.imdb.com/name/nm2647632/?ref_=sr_t_1,,,,11,6,4
328,Pirjo Honkasalo,http://www.imdb.com/name/nm0393345/?ref_=sr_t_1,Helsinki,,Finland,22,23,16
329,Quentin Tarantino,http://www.imdb.com/name/nm0000233/?ref_=sr_t_1,Knoxville,Tennessee,USA,22,171,286
330,Raam Reddy,http://www.imdb.com/name/nm5339365/?ref_=sr_t_1,Bangalore,Karnataka,India,5,14,9
331,Rachid Bouchareb,http://www.imdb.com/name/nm0098953/?ref_=sr_t_1,Paris,,France,21,38,18
332,Rajat Kapoor,http://www.imdb.com/name/nm0438494/?ref_=sr_t_1,New Delhi,,India,14,10,23
333,Ramin Bahrani,http://www.imdb.com/name/nm1023919/?ref_=sr_t_1,North Carolina,,USA,22,24,29
334,Raoul Peck,http://www.imdb.com/name/nm0669704/?ref_=sr_t_1,Port-au-Prince,,Haiti,26,34,53
335,Raúl Ruiz,http://www.imdb.com/name/nm0749914/?ref_=sr_t_1,Puerto Montt,,Chile,118,28,38
336,Rehad Desai,http://www.imdb.com/name/nm2390834/?ref_=sr_t_1,,,,8,6,2
337,Rian Johnson,http://www.imdb.com/name/nm0426059/?ref_=sr_t_1,Silver Spring,Maryland,USA,20,50,120
338,Richard Curtis,http://www.imdb.com/name/nm0193485/?ref_=sr_t_1,Wellington,,New Zealand,6,24,37
339,Richard Kelly,http://www.imdb.com/name/nm0446819/?ref_=sr_t_1,Newport News,Virginia,USA,5,8,9
340,Richard Linklater,http://www.imdb.com/name/nm0000500/?ref_=sr_t_1,Houston,Texas,USA,36,111,160
341,Rick Alverson,http://www.imdb.com/name/nm3687830/?ref_=sr_t_1,Spokane,Washington,USA,15,4,8
342,Ridley Scott,http://www.imdb.com/name/nm0000631/?ref_=sr_t_1,South Shields,County Durham,"England, UK",59,52,109
343,Rita Azevedo Gomes,http://www.imdb.com/name/nm0326946/?ref_=fn_all_nme_1,,,,12,3,19
344,Rob Marshall,http://www.imdb.com/name/nm0551128/?ref_=sr_t_1,Madison,Wisconsin,USA,12,19,23
345,Robert Altman,http://www.imdb.com/name/nm0000265/?ref_=sr_t_1,Kansas City,Missouri,USA,91,68,76
346,Robert Greene,http://www.imdb.com/name/nm1914992/?ref_=sr_t_1,Charlotte,North Carolina,USA,14,9,43
347,Robert Pulcini,http://www.imdb.com/name/nm0700301/?ref_=sr_t_1,New York City,New York,USA,21,25,26
348,Robert Zemeckis,http://www.imdb.com/name/nm0000709/?ref_=sr_t_1,Chicago,Illinois,USA,35,37,42
349,Roberto Benigni,http://www.imdb.com/name/nm0000905/?ref_=sr_t_1,Manciano La Misericordia,Castiglion Fiorentino,"Tuscany, Italy",9,63,43
350,Roman Polanski,http://www.imdb.com/name/nm0000591/?ref_=sr_t_1,Paris,,France,42,102,93
351,Ronit Elkabetz,http://www.imdb.com/name/nm0253813/?ref_=sr_t_1,Beersheba,,Israel,3,27,22
352,Roy Andersson,http://www.imdb.com/name/nm0027815/?ref_=sr_t_1,Gothenburg,Västra Götalands län,Sweden,23,31,29
353,Royston Tan,http://www.imdb.com/name/nm0848892/?ref_=sr_t_1,,,Singapore,22,22,10
